Method,Moves,Time
"$\pi_{\theta,(64,10)}$",15.0,0.009811878204345703
"$\pi_{\theta,(64,10)}$",13.0,0.009182929992675781
"$\pi_{\theta,(64,10)}$",16.0,0.010509014129638672
"$\pi_{\theta,(64,10)}$",15.0,0.0099639892578125
"$\pi_{\theta,(64,10)}$",16.0,0.010760068893432617
"$\pi_{\theta,(64,10)}$",18.0,0.012077808380126953
"$\pi_{\theta,(64,10)}$",15.0,0.01125192642211914
"$\pi_{\theta,(64,10)}$",14.0,0.009132862091064453
"$\pi_{\theta,(64,10)}$",14.0,0.011080265045166016
"$\pi_{\theta,(64,10)}$",18.0,0.013863801956176758
"$\pi_{\theta,(64,10)}$",16.0,0.018466949462890625
"$\pi_{\theta,(64,10)}$",16.0,0.012610912322998047
"$\pi_{\theta,(64,10)}$",19.0,0.013067007064819336
"$\pi_{\theta,(64,10)}$",15.0,0.011321783065795898
"$\pi_{\theta,(64,10)}$",16.0,0.011391878128051758
"$\pi_{\theta,(64,10)}$",16.0,0.011224985122680664
"$\pi_{\theta,(64,10)}$",15.0,0.012616872787475586
"$\pi_{\theta,(64,10)}$",13.0,0.008782148361206055
"$\pi_{\theta,(64,10)}$",17.0,0.015475988388061523
"$\pi_{\theta,(64,10)}$",16.0,0.01146388053894043
"$\pi_{\theta,(64,10)}$",14.0,0.010462045669555664
"$\pi_{\theta,(64,10)}$",15.0,0.010803937911987305
"$\pi_{\theta,(64,10)}$",13.0,0.008387088775634766
"$\pi_{\theta,(64,10)}$",17.0,0.012012004852294922
"$\pi_{\theta,(64,10)}$",13.0,0.012949943542480469
"$\pi_{\theta,(64,10)}$",18.0,0.016859054565429688
"$\pi_{\theta,(64,10)}$",16.0,0.013057947158813477
"$\pi_{\theta,(64,10)}$",16.0,0.012164115905761719
"$\pi_{\theta,(64,10)}$",11.0,0.0072786808013916016
"$\pi_{\theta,(64,10)}$",13.0,0.009999275207519531
"$\pi_{\theta,(64,10)}$",21.0,0.01541590690612793
"$\pi_{\theta,(64,10)}$",16.0,0.011947870254516602
"$\pi_{\theta,(64,10)}$",17.0,0.016203880310058594
"$\pi_{\theta,(64,10)}$",16.0,0.022840023040771484
"$\pi_{\theta,(64,10)}$",16.0,0.01530909538269043
"$\pi_{\theta,(64,10)}$",14.0,0.013386964797973633
"$\pi_{\theta,(64,10)}$",12.0,0.010061025619506836
"$\pi_{\theta,(64,10)}$",17.0,0.02364206314086914
"$\pi_{\theta,(64,10)}$",18.0,0.014677047729492188
"$\pi_{\theta,(64,10)}$",16.0,0.012786865234375
"$\pi_{\theta,(64,10)}$",17.0,0.014589786529541016
"$\pi_{\theta,(64,10)}$",17.0,0.014847993850708008
"$\pi_{\theta,(64,10)}$",14.0,0.010452985763549805
"$\pi_{\theta,(64,10)}$",16.0,0.012188911437988281
"$\pi_{\theta,(64,10)}$",16.0,0.015481710433959961
"$\pi_{\theta,(64,10)}$",17.0,0.011940956115722656
"$\pi_{\theta,(64,10)}$",15.0,0.009984016418457031
"$\pi_{\theta,(64,10)}$",14.0,0.009723186492919922
"$\pi_{\theta,(64,10)}$",16.0,0.011085271835327148
"$\pi_{\theta,(64,10)}$",17.0,0.01440286636352539
"$\pi_{\theta,(64,10)}$",20.0,0.013991832733154297
"$\pi_{\theta,(64,10)}$",14.0,0.012745141983032227
"$\pi_{\theta,(64,10)}$",16.0,0.011092901229858398
"$\pi_{\theta,(64,10)}$",12.0,0.008628129959106445
"$\pi_{\theta,(64,10)}$",16.0,0.01367807388305664
"$\pi_{\theta,(64,10)}$",15.0,0.010831117630004883
"$\pi_{\theta,(64,10)}$",14.0,0.008904218673706055
"$\pi_{\theta,(64,10)}$",16.0,0.01123189926147461
"$\pi_{\theta,(64,10)}$",17.0,0.012809991836547852
"$\pi_{\theta,(64,10)}$",17.0,0.011717081069946289
"$\pi_{\theta,(64,10)}$",12.0,0.007838010787963867
"$\pi_{\theta,(64,10)}$",14.0,0.009423971176147461
"$\pi_{\theta,(64,10)}$",13.0,0.008182048797607422
"$\pi_{\theta,(64,10)}$",15.0,0.010300159454345703
"$\pi_{\theta,(64,10)}$",13.0,0.009107112884521484
"$\pi_{\theta,(64,10)}$",15.0,0.009844779968261719
"$\pi_{\theta,(64,10)}$",16.0,0.011487007141113281
"$\pi_{\theta,(64,10)}$",15.0,0.010765790939331055
"$\pi_{\theta,(64,10)}$",16.0,0.010800838470458984
"$\pi_{\theta,(64,10)}$",17.0,0.011736154556274414
"$\pi_{\theta,(64,10)}$",15.0,0.010097980499267578
"$\pi_{\theta,(64,10)}$",13.0,0.00997781753540039
"$\pi_{\theta,(64,10)}$",16.0,0.011331796646118164
"$\pi_{\theta,(64,10)}$",14.0,0.009305000305175781
"$\pi_{\theta,(64,10)}$",19.0,0.013378143310546875
"$\pi_{\theta,(64,10)}$",16.0,0.011373043060302734
"$\pi_{\theta,(64,10)}$",15.0,0.01118612289428711
"$\pi_{\theta,(64,10)}$",14.0,0.010012149810791016
"$\pi_{\theta,(64,10)}$",17.0,0.011825084686279297
"$\pi_{\theta,(64,10)}$",17.0,0.013351202011108398
"$\pi_{\theta,(64,10)}$",16.0,0.010763168334960938
"$\pi_{\theta,(64,10)}$",17.0,0.011110782623291016
"$\pi_{\theta,(64,10)}$",15.0,0.010658025741577148
"$\pi_{\theta,(64,10)}$",14.0,0.009469985961914062
"$\pi_{\theta,(64,10)}$",17.0,0.011990785598754883
"$\pi_{\theta,(64,10)}$",16.0,0.010994195938110352
"$\pi_{\theta,(64,10)}$",17.0,0.011747121810913086
"$\pi_{\theta,(64,10)}$",15.0,0.010986804962158203
"$\pi_{\theta,(64,10)}$",17.0,0.012250185012817383
"$\pi_{\theta,(64,10)}$",16.0,0.010863780975341797
"$\pi_{\theta,(64,10)}$",16.0,0.01083683967590332
"$\pi_{\theta,(64,10)}$",13.0,0.009079933166503906
"$\pi_{\theta,(64,10)}$",15.0,0.009964704513549805
"$\pi_{\theta,(64,10)}$",19.0,0.014180898666381836
"$\pi_{\theta,(64,10)}$",16.0,0.012881994247436523
"$\pi_{\theta,(64,10)}$",18.0,0.012827157974243164
"$\pi_{\theta,(64,10)}$",17.0,0.011870861053466797
"$\pi_{\theta,(64,10)}$",15.0,0.010020017623901367
"$\pi_{\theta,(64,10)}$",16.0,0.012684106826782227
"$\pi_{\theta,(64,10)}$",20.0,0.013813972473144531
"$\pi_{\theta,(64,10)}$",15.0,0.010668039321899414
"$\pi_{\theta,(64,10)}$",17.0,0.012026071548461914
"$\pi_{\theta,(64,10)}$",19.0,0.01305389404296875
"$\pi_{\theta,(64,10)}$",16.0,0.011873006820678711
