Method,Moves,Time
"$w=32$, $d=5$",19.0,0.15128517150878906
"$w=32$, $d=5$",13.0,0.12123703956604004
"$w=32$, $d=5$",17.0,0.11842489242553711
"$w=32$, $d=5$",19.0,0.11642694473266602
"$w=32$, $d=5$",14.0,0.07379937171936035
"$w=32$, $d=5$",11.0,0.04734015464782715
"$w=32$, $d=5$",12.0,0.052143096923828125
"$w=32$, $d=5$",21.0,0.16910004615783691
"$w=32$, $d=5$",14.0,0.07981419563293457
"$w=32$, $d=5$",15.0,0.10387802124023438
"$w=32$, $d=5$",14.0,0.08115983009338379
"$w=32$, $d=5$",18.0,0.10979723930358887
"$w=32$, $d=5$",13.0,0.05793595314025879
"$w=32$, $d=5$",15.0,0.10307908058166504
"$w=32$, $d=5$",18.0,0.09837198257446289
"$w=32$, $d=5$",17.0,0.10407900810241699
"$w=32$, $d=5$",17.0,0.11621618270874023
"$w=32$, $d=5$",18.0,0.11694693565368652
"$w=32$, $d=5$",14.0,0.07633781433105469
"$w=32$, $d=5$",15.0,0.08828210830688477
"$w=32$, $d=5$",14.0,0.0778498649597168
"$w=32$, $d=5$",15.0,0.13303804397583008
"$w=32$, $d=5$",16.0,0.11966109275817871
"$w=32$, $d=5$",14.0,0.09277796745300293
"$w=32$, $d=5$",14.0,0.09508109092712402
"$w=32$, $d=5$",12.0,0.07593202590942383
"$w=32$, $d=5$",17.0,0.10452818870544434
"$w=32$, $d=5$",19.0,0.12296295166015625
"$w=32$, $d=5$",15.0,0.09328317642211914
"$w=32$, $d=5$",15.0,0.11761903762817383
"$w=32$, $d=5$",15.0,0.08743619918823242
"$w=32$, $d=5$",16.0,0.1658637523651123
"$w=32$, $d=5$",16.0,0.09809589385986328
"$w=32$, $d=5$",14.0,0.08641624450683594
"$w=32$, $d=5$",15.0,0.0965278148651123
"$w=32$, $d=5$",19.0,0.15862393379211426
"$w=32$, $d=5$",17.0,0.11641979217529297
"$w=32$, $d=5$",13.0,0.05784296989440918
"$w=32$, $d=5$",12.0,0.07628583908081055
"$w=32$, $d=5$",12.0,0.04892110824584961
"$w=32$, $d=5$",16.0,0.0888829231262207
"$w=32$, $d=5$",15.0,0.0917208194732666
"$w=32$, $d=5$",15.0,0.09492087364196777
"$w=32$, $d=5$",13.0,0.07194399833679199
"$w=32$, $d=5$",16.0,0.09765195846557617
"$w=32$, $d=5$",18.0,0.13222002983093262
"$w=32$, $d=5$",14.0,0.11981701850891113
"$w=32$, $d=5$",16.0,0.1219778060913086
"$w=32$, $d=5$",13.0,0.20399212837219238
"$w=32$, $d=5$",15.0,0.10818672180175781
"$w=32$, $d=5$",14.0,0.06706714630126953
"$w=32$, $d=5$",19.0,0.14847588539123535
"$w=32$, $d=5$",16.0,0.08334898948669434
"$w=32$, $d=5$",14.0,0.06481027603149414
"$w=32$, $d=5$",14.0,0.0800628662109375
"$w=32$, $d=5$",19.0,0.11573290824890137
"$w=32$, $d=5$",16.0,0.10378599166870117
"$w=32$, $d=5$",14.0,0.0720221996307373
"$w=32$, $d=5$",13.0,0.06564021110534668
"$w=32$, $d=5$",14.0,0.08018922805786133
"$w=32$, $d=5$",12.0,0.05640697479248047
"$w=32$, $d=5$",17.0,0.2553589344024658
"$w=32$, $d=5$",15.0,0.0946660041809082
"$w=32$, $d=5$",19.0,0.10755491256713867
"$w=32$, $d=5$",15.0,0.08764481544494629
"$w=32$, $d=5$",16.0,0.0939321517944336
"$w=32$, $d=5$",16.0,0.1513209342956543
"$w=32$, $d=5$",15.0,0.10573291778564453
"$w=32$, $d=5$",13.0,0.07587099075317383
"$w=32$, $d=5$",16.0,0.2012491226196289
"$w=32$, $d=5$",16.0,0.09854817390441895
"$w=32$, $d=5$",15.0,0.09477901458740234
"$w=32$, $d=5$",18.0,0.10496091842651367
"$w=32$, $d=5$",17.0,0.13811087608337402
"$w=32$, $d=5$",17.0,0.1099700927734375
"$w=32$, $d=5$",15.0,0.11388921737670898
"$w=32$, $d=5$",19.0,0.15123915672302246
"$w=32$, $d=5$",16.0,0.0924539566040039
"$w=32$, $d=5$",16.0,0.09964537620544434
"$w=32$, $d=5$",18.0,0.1771390438079834
"$w=32$, $d=5$",14.0,0.10869717597961426
"$w=32$, $d=5$",15.0,0.08106303215026855
"$w=32$, $d=5$",14.0,0.13608384132385254
"$w=32$, $d=5$",18.0,0.12855005264282227
"$w=32$, $d=5$",15.0,0.09704303741455078
"$w=32$, $d=5$",17.0,0.0911099910736084
"$w=32$, $d=5$",15.0,0.08402085304260254
"$w=32$, $d=5$",15.0,0.11011910438537598
"$w=32$, $d=5$",14.0,0.07805800437927246
"$w=32$, $d=5$",16.0,0.1140449047088623
"$w=32$, $d=5$",15.0,0.09213376045227051
"$w=32$, $d=5$",16.0,0.11957621574401855
"$w=32$, $d=5$",15.0,0.11507773399353027
"$w=32$, $d=5$",16.0,0.10408329963684082
"$w=32$, $d=5$",16.0,0.08479428291320801
"$w=32$, $d=5$",15.0,0.08271622657775879
"$w=32$, $d=5$",17.0,0.09343290328979492
"$w=32$, $d=5$",15.0,0.09803271293640137
"$w=32$, $d=5$",14.0,0.15672993659973145
"$w=32$, $d=5$",14.0,0.09158110618591309
"$w=32$, $d=5$",18.0,0.12256503105163574
"$w=32$, $d=5$",19.0,0.12267112731933594
"$w=32$, $d=5$",14.0,0.08359766006469727
"$w=32$, $d=5$",11.0,0.06450200080871582
"$w=32$, $d=5$",17.0,0.11378216743469238
"$w=32$, $d=5$",16.0,0.13086700439453125
"$w=32$, $d=5$",13.0,0.10970497131347656
"$w=32$, $d=5$",12.0,0.0840151309967041
"$w=32$, $d=5$",17.0,0.12554597854614258
"$w=32$, $d=5$",18.0,0.13340306282043457
"$w=32$, $d=5$",15.0,0.0781412124633789
"$w=32$, $d=5$",14.0,0.09671306610107422
"$w=32$, $d=5$",18.0,0.09644412994384766
"$w=32$, $d=5$",15.0,0.10198187828063965
"$w=32$, $d=5$",16.0,0.11424422264099121
"$w=32$, $d=5$",16.0,0.09261298179626465
"$w=32$, $d=5$",19.0,0.14123797416687012
"$w=32$, $d=5$",15.0,0.09979796409606934
"$w=32$, $d=5$",18.0,0.1324758529663086
"$w=32$, $d=5$",17.0,0.10675501823425293
"$w=32$, $d=5$",13.0,0.08251404762268066
"$w=32$, $d=5$",16.0,0.10246682167053223
"$w=32$, $d=5$",15.0,0.10687017440795898
"$w=32$, $d=5$",14.0,0.13930296897888184
"$w=32$, $d=5$",14.0,0.11284017562866211
"$w=32$, $d=5$",15.0,0.08868908882141113
"$w=32$, $d=5$",18.0,0.0802452564239502
"$w=32$, $d=5$",14.0,0.08275580406188965
"$w=32$, $d=5$",15.0,0.09551835060119629
"$w=32$, $d=5$",15.0,0.10678911209106445
"$w=32$, $d=5$",17.0,0.1288151741027832
"$w=32$, $d=5$",13.0,0.08602428436279297
"$w=32$, $d=5$",12.0,0.05643892288208008
"$w=32$, $d=5$",15.0,0.14487004280090332
"$w=32$, $d=5$",13.0,0.07203507423400879
"$w=32$, $d=5$",18.0,0.1148369312286377
"$w=32$, $d=5$",17.0,0.12048506736755371
"$w=32$, $d=5$",17.0,0.11799812316894531
"$w=32$, $d=5$",15.0,0.09743404388427734
"$w=32$, $d=5$",17.0,0.10695409774780273
"$w=32$, $d=5$",18.0,0.11788487434387207
"$w=32$, $d=5$",19.0,0.15716314315795898
"$w=32$, $d=5$",16.0,0.12244582176208496
"$w=32$, $d=5$",15.0,0.08560299873352051
"$w=32$, $d=5$",14.0,0.07115292549133301
"$w=32$, $d=5$",14.0,0.10301613807678223
"$w=32$, $d=5$",13.0,0.0860600471496582
"$w=32$, $d=5$",16.0,0.10176920890808105
"$w=32$, $d=5$",12.0,0.07480597496032715
"$w=32$, $d=5$",17.0,0.11992597579956055
"$w=32$, $d=5$",16.0,0.10015106201171875
"$w=32$, $d=5$",15.0,0.10550618171691895
"$w=32$, $d=5$",16.0,0.09031486511230469
"$w=32$, $d=5$",17.0,0.11380672454833984
"$w=32$, $d=5$",17.0,0.12954187393188477
"$w=32$, $d=5$",17.0,0.1017296314239502
"$w=32$, $d=5$",13.0,0.08039402961730957
"$w=32$, $d=5$",18.0,0.12810802459716797
"$w=32$, $d=5$",20.0,0.15564489364624023
"$w=32$, $d=5$",18.0,0.11904573440551758
"$w=32$, $d=5$",16.0,0.1023411750793457
"$w=32$, $d=5$",18.0,0.14138221740722656
"$w=32$, $d=5$",15.0,0.08206820487976074
"$w=32$, $d=5$",17.0,0.10787105560302734
"$w=32$, $d=5$",15.0,0.09569382667541504
"$w=32$, $d=5$",15.0,0.09532403945922852
"$w=32$, $d=5$",15.0,0.09080123901367188
"$w=32$, $d=5$",19.0,0.1309802532196045
"$w=32$, $d=5$",17.0,0.10767483711242676
"$w=32$, $d=5$",18.0,0.10999774932861328
"$w=32$, $d=5$",17.0,0.10892224311828613
"$w=32$, $d=5$",15.0,0.0863790512084961
"$w=32$, $d=5$",16.0,0.11195683479309082
"$w=32$, $d=5$",13.0,0.07279419898986816
"$w=32$, $d=5$",15.0,0.08413100242614746
"$w=32$, $d=5$",17.0,0.1530461311340332
"$w=32$, $d=5$",15.0,0.10214805603027344
"$w=32$, $d=5$",16.0,0.09084916114807129
"$w=32$, $d=5$",17.0,0.12046003341674805
"$w=32$, $d=5$",15.0,0.09970426559448242
"$w=32$, $d=5$",19.0,0.1025691032409668
"$w=32$, $d=5$",16.0,0.10129404067993164
"$w=32$, $d=5$",13.0,0.05858492851257324
"$w=32$, $d=5$",13.0,0.056726694107055664
"$w=32$, $d=5$",16.0,0.09174394607543945
"$w=32$, $d=5$",16.0,0.1015620231628418
"$w=32$, $d=5$",15.0,0.0829629898071289
"$w=32$, $d=5$",14.0,0.07383990287780762
"$w=32$, $d=5$",17.0,0.11003494262695312
"$w=32$, $d=5$",15.0,0.06898784637451172
"$w=32$, $d=5$",17.0,0.10919499397277832
"$w=32$, $d=5$",15.0,0.08798503875732422
"$w=32$, $d=5$",15.0,0.09519410133361816
"$w=32$, $d=5$",21.0,0.15587925910949707
"$w=32$, $d=5$",18.0,0.12003111839294434
"$w=32$, $d=5$",14.0,0.06862521171569824
"$w=32$, $d=5$",12.0,0.05744290351867676
"$w=32$, $d=5$",17.0,0.11028623580932617
"$w=32$, $d=5$",17.0,0.12032198905944824
"$w=32$, $d=5$",15.0,0.08771729469299316
"$w=32$, $d=5$",15.0,0.10560369491577148
"$w=32$, $d=5$",16.0,0.09196066856384277
"$w=32$, $d=5$",14.0,0.06708407402038574
"$w=32$, $d=5$",14.0,0.05913686752319336
"$w=32$, $d=5$",15.0,0.09145689010620117
"$w=32$, $d=5$",19.0,0.10422015190124512
"$w=32$, $d=5$",18.0,0.10622215270996094
"$w=32$, $d=5$",15.0,0.11198115348815918
"$w=32$, $d=5$",17.0,0.10987710952758789
"$w=32$, $d=5$",14.0,0.0930640697479248
"$w=32$, $d=5$",17.0,0.0982048511505127
"$w=32$, $d=5$",15.0,0.09782814979553223
"$w=32$, $d=5$",14.0,0.07152009010314941
"$w=32$, $d=5$",18.0,0.14258694648742676
"$w=32$, $d=5$",14.0,0.0703129768371582
"$w=32$, $d=5$",14.0,0.07634091377258301
"$w=32$, $d=5$",15.0,0.0777590274810791
"$w=32$, $d=5$",14.0,0.10421109199523926
"$w=32$, $d=5$",15.0,0.07822608947753906
"$w=32$, $d=5$",15.0,0.10060739517211914
"$w=32$, $d=5$",14.0,0.10298585891723633
