Method,Moves,Time
"$w=32$, $d=5$",14.0,0.005075931549072266
"$w=32$, $d=5$",18.0,0.006057024002075195
"$w=32$, $d=5$",15.0,0.0049741268157958984
"$w=32$, $d=5$",18.0,0.00590825080871582
"$w=32$, $d=5$",18.0,0.005694150924682617
"$w=32$, $d=5$",16.0,0.0047149658203125
"$w=32$, $d=5$",12.0,0.0038111209869384766
"$w=32$, $d=5$",14.0,0.0044138431549072266
"$w=32$, $d=5$",23.0,0.01120305061340332
"$w=32$, $d=5$",15.0,0.0048198699951171875
"$w=32$, $d=5$",17.0,0.005125761032104492
"$w=32$, $d=5$",15.0,0.0044977664947509766
"$w=32$, $d=5$",17.0,0.005238056182861328
"$w=32$, $d=5$",14.0,0.004533052444458008
"$w=32$, $d=5$",14.0,0.004349946975708008
"$w=32$, $d=5$",19.0,0.005747079849243164
"$w=32$, $d=5$",17.0,0.006318807601928711
"$w=32$, $d=5$",18.0,0.007169008255004883
"$w=32$, $d=5$",15.0,0.0051190853118896484
"$w=32$, $d=5$",17.0,0.005504131317138672
"$w=32$, $d=5$",15.0,0.005059003829956055
"$w=32$, $d=5$",17.0,0.006675004959106445
"$w=32$, $d=5$",18.0,0.005582094192504883
"$w=32$, $d=5$",18.0,0.00543212890625
"$w=32$, $d=5$",15.0,0.005123138427734375
"$w=32$, $d=5$",17.0,0.005149126052856445
"$w=32$, $d=5$",14.0,0.004281759262084961
"$w=32$, $d=5$",18.0,0.005333900451660156
"$w=32$, $d=5$",20.0,0.0063359737396240234
"$w=32$, $d=5$",14.0,0.004728078842163086
"$w=32$, $d=5$",19.0,0.005606889724731445
"$w=32$, $d=5$",12.0,0.0035550594329833984
"$w=32$, $d=5$",18.0,0.005555152893066406
"$w=32$, $d=5$",15.0,0.00492095947265625
"$w=32$, $d=5$",15.0,0.0054168701171875
"$w=32$, $d=5$",15.0,0.0059659481048583984
"$w=32$, $d=5$",17.0,0.007729291915893555
"$w=32$, $d=5$",18.0,0.006551027297973633
"$w=32$, $d=5$",13.0,0.005620002746582031
"$w=32$, $d=5$",16.0,0.006274700164794922
"$w=32$, $d=5$",14.0,0.005860090255737305
"$w=32$, $d=5$",17.0,0.005950927734375
"$w=32$, $d=5$",17.0,0.0068700313568115234
"$w=32$, $d=5$",15.0,0.006392717361450195
"$w=32$, $d=5$",15.0,0.005019187927246094
"$w=32$, $d=5$",18.0,0.005389213562011719
"$w=32$, $d=5$",19.0,0.0065250396728515625
"$w=32$, $d=5$",16.0,0.005901813507080078
"$w=32$, $d=5$",17.0,0.0061168670654296875
"$w=32$, $d=5$",18.0,0.006849050521850586
"$w=32$, $d=5$",16.0,0.005730152130126953
"$w=32$, $d=5$",14.0,0.00431370735168457
"$w=32$, $d=5$",20.0,0.006591081619262695
"$w=32$, $d=5$",17.0,0.006326198577880859
"$w=32$, $d=5$",16.0,0.006293058395385742
"$w=32$, $d=5$",16.0,0.006252765655517578
"$w=32$, $d=5$",18.0,0.005978107452392578
"$w=32$, $d=5$",17.0,0.0063860416412353516
"$w=32$, $d=5$",17.0,0.0066738128662109375
"$w=32$, $d=5$",15.0,0.006270885467529297
"$w=32$, $d=5$",13.0,0.003943920135498047
"$w=32$, $d=5$",14.0,0.004953861236572266
"$w=32$, $d=5$",17.0,0.0056209564208984375
"$w=32$, $d=5$",16.0,0.005056142807006836
"$w=32$, $d=5$",17.0,0.0051457881927490234
"$w=32$, $d=5$",16.0,0.004847049713134766
"$w=32$, $d=5$",21.0,0.007807016372680664
"$w=32$, $d=5$",17.0,0.005290985107421875
"$w=32$, $d=5$",20.0,0.006264209747314453
"$w=32$, $d=5$",17.0,0.008854150772094727
"$w=32$, $d=5$",15.0,0.0045549869537353516
"$w=32$, $d=5$",17.0,0.00517725944519043
"$w=32$, $d=5$",17.0,0.005059719085693359
"$w=32$, $d=5$",20.0,0.00608515739440918
"$w=32$, $d=5$",16.0,0.00506901741027832
"$w=32$, $d=5$",16.0,0.004940032958984375
"$w=32$, $d=5$",17.0,0.005120992660522461
"$w=32$, $d=5$",19.0,0.005633115768432617
"$w=32$, $d=5$",15.0,0.004747867584228516
"$w=32$, $d=5$",18.0,0.0055959224700927734
"$w=32$, $d=5$",20.0,0.006412029266357422
"$w=32$, $d=5$",18.0,0.006517887115478516
"$w=32$, $d=5$",14.0,0.005182027816772461
"$w=32$, $d=5$",16.0,0.005812883377075195
"$w=32$, $d=5$",20.0,0.007566928863525391
"$w=32$, $d=5$",15.0,0.0049550533294677734
"$w=32$, $d=5$",16.0,0.0075321197509765625
"$w=32$, $d=5$",17.0,0.0052433013916015625
"$w=32$, $d=5$",17.0,0.00516819953918457
"$w=32$, $d=5$",15.0,0.004431724548339844
"$w=32$, $d=5$",15.0,0.005020856857299805
"$w=32$, $d=5$",16.0,0.004705905914306641
"$w=32$, $d=5$",18.0,0.005469799041748047
"$w=32$, $d=5$",15.0,0.004545927047729492
"$w=32$, $d=5$",18.0,0.0055522918701171875
"$w=32$, $d=5$",15.0,0.004419088363647461
"$w=32$, $d=5$",16.0,0.005291938781738281
"$w=32$, $d=5$",18.0,0.005380868911743164
"$w=32$, $d=5$",16.0,0.004738807678222656
"$w=32$, $d=5$",16.0,0.004911184310913086
"$w=32$, $d=5$",17.0,0.005830287933349609
"$w=32$, $d=5$",20.0,0.007447957992553711
"$w=32$, $d=5$",19.0,0.006465911865234375
"$w=32$, $d=5$",16.0,0.005459785461425781
"$w=32$, $d=5$",14.0,0.004845857620239258
"$w=32$, $d=5$",22.0,0.006463289260864258
"$w=32$, $d=5$",21.0,0.00687098503112793
"$w=32$, $d=5$",15.0,0.0049779415130615234
"$w=32$, $d=5$",15.0,0.004406929016113281
"$w=32$, $d=5$",16.0,0.005112886428833008
"$w=32$, $d=5$",16.0,0.00539708137512207
"$w=32$, $d=5$",15.0,0.005410194396972656
"$w=32$, $d=5$",16.0,0.0053560733795166016
"$w=32$, $d=5$",18.0,0.005873918533325195
"$w=32$, $d=5$",19.0,0.0076601505279541016
"$w=32$, $d=5$",15.0,0.0045413970947265625
"$w=32$, $d=5$",19.0,0.006019115447998047
"$w=32$, $d=5$",21.0,0.007500886917114258
"$w=32$, $d=5$",15.0,0.006735801696777344
"$w=32$, $d=5$",19.0,0.00596308708190918
"$w=32$, $d=5$",16.0,0.007118940353393555
"$w=32$, $d=5$",15.0,0.004829883575439453
"$w=32$, $d=5$",16.0,0.007616996765136719
"$w=32$, $d=5$",18.0,0.005400180816650391
"$w=32$, $d=5$",12.0,0.0035567283630371094
"$w=32$, $d=5$",15.0,0.006618976593017578
"$w=32$, $d=5$",18.0,0.0056879520416259766
"$w=32$, $d=5$",15.0,0.0044269561767578125
"$w=32$, $d=5$",15.0,0.0045239925384521484
"$w=32$, $d=5$",15.0,0.0062100887298583984
"$w=32$, $d=5$",17.0,0.005876064300537109
"$w=32$, $d=5$",16.0,0.004866838455200195
"$w=32$, $d=5$",11.0,0.0033769607543945312
"$w=32$, $d=5$",14.0,0.005838632583618164
"$w=32$, $d=5$",15.0,0.004604816436767578
"$w=32$, $d=5$",16.0,0.004724979400634766
"$w=32$, $d=5$",17.0,0.005364418029785156
"$w=32$, $d=5$",16.0,0.005507707595825195
"$w=32$, $d=5$",19.0,0.006004810333251953
"$w=32$, $d=5$",14.0,0.004815101623535156
"$w=32$, $d=5$",19.0,0.006075143814086914
"$w=32$, $d=5$",20.0,0.0063018798828125
"$w=32$, $d=5$",20.0,0.006170034408569336
"$w=32$, $d=5$",17.0,0.006803274154663086
"$w=32$, $d=5$",15.0,0.004931926727294922
"$w=32$, $d=5$",15.0,0.004664897918701172
"$w=32$, $d=5$",18.0,0.005358219146728516
"$w=32$, $d=5$",18.0,0.0059278011322021484
"$w=32$, $d=5$",18.0,0.0054590702056884766
"$w=32$, $d=5$",13.0,0.003834962844848633
"$w=32$, $d=5$",18.0,0.005914926528930664
