method,board,time,moves,beam_width
1lookahead,6,0.1610913276672363,17,16
1lookahead,6,0.2986986637115478,17,32
1lookahead,6,0.534888744354248,15,64
1lookahead,6,1.084538221359253,15,128
1lookahead,6,2.072732448577881,14,256
1lookahead,6,4.254834413528442,14,512
1lookahead,6,8.354852199554443,14,1024
1lookahead,6,15.736878395080566,14,2048
2lookahead,6,0.0828745365142822,18,1
2lookahead,6,0.1204419136047363,15,2
2lookahead,6,0.2268896102905273,15,4
2lookahead,6,0.4487123489379883,15,8
2lookahead,6,0.910212516784668,15,16
2lookahead,6,1.8614954948425293,15,32
2lookahead,6,3.433394193649292,14,64
2lookahead,6,6.426375389099121,14,128
2lookahead,6,12.910849571228027,14,256
1lookahead,7,0.0183093547821044,25,1
1lookahead,7,0.0292301177978515,24,2
1lookahead,7,0.0531728267669677,21,4
1lookahead,7,0.1026906967163086,20,8
1lookahead,7,0.2079808712005615,20,16
1lookahead,7,0.4061570167541504,19,32
1lookahead,7,0.7281577587127686,18,64
1lookahead,7,1.4572739601135254,18,128
1lookahead,7,2.8176376819610596,18,256
1lookahead,7,5.647324323654175,18,512
1lookahead,7,11.022520542144775,18,1024
2lookahead,7,0.0980584621429443,20,1
2lookahead,7,0.1929590702056884,21,2
2lookahead,7,0.363569974899292,20,4
2lookahead,7,0.702688455581665,21,8
2lookahead,7,1.397099494934082,20,16
2lookahead,7,2.6191444396972656,18,32
2lookahead,7,4.762662410736084,18,64
2lookahead,7,9.039746046066284,18,128
2lookahead,7,17.575763702392578,17,256
1lookahead,8,0.0092313289642333,19,1
1lookahead,8,0.0153534412384033,14,2
1lookahead,8,0.0279521942138671,17,4
1lookahead,8,0.0506660938262939,14,8
1lookahead,8,0.1053359508514404,14,16
1lookahead,8,0.2065675258636474,14,32
1lookahead,8,0.3950440883636474,14,64
1lookahead,8,0.7602102756500244,13,128
1lookahead,8,1.5546562671661377,13,256
1lookahead,8,2.93882417678833,13,512
1lookahead,8,5.299899339675903,12,1024
1lookahead,8,10.363116264343262,12,2048
2lookahead,8,0.038053274154663,17,1
2lookahead,8,0.0660667419433593,15,2
2lookahead,8,0.1303861141204834,13,4
2lookahead,8,0.2604663372039795,13,8
2lookahead,8,0.5304388999938965,13,16
2lookahead,8,1.044097900390625,13,32
2lookahead,8,1.679211139678955,13,64
2lookahead,8,3.351734399795532,13,128
2lookahead,8,6.7657904624938965,12,256
2lookahead,8,13.629961729049684,12,512
1lookahead,9,0.0144875049591064,21,1
1lookahead,9,0.0276284217834472,22,2
1lookahead,9,0.0516417026519775,20,4
1lookahead,9,0.0956480503082275,18,8
1lookahead,9,0.1870887279510498,18,16
1lookahead,9,0.379530668258667,18,32
1lookahead,9,0.7788188457489014,18,64
1lookahead,9,1.4011352062225342,16,128
1lookahead,9,2.7939352989196777,16,256
1lookahead,9,5.627688407897949,16,512
1lookahead,9,11.133163690567017,16,1024
2lookahead,9,0.1019039154052734,18,1
2lookahead,9,0.1894154548645019,20,2
2lookahead,9,0.3415868282318115,18,4
2lookahead,9,0.6849963665008545,18,8
2lookahead,9,1.3059544563293457,17,16
2lookahead,9,2.6622307300567627,17,32
2lookahead,9,4.979204177856445,16,64
2lookahead,9,9.16147780418396,16,128
2lookahead,9,18.129481315612793,16,256
1lookahead,10,0.0122792720794677,20,1
1lookahead,10,0.0209963321685791,18,2
1lookahead,10,0.0433459281921386,18,4
1lookahead,10,0.0804531574249267,18,8
1lookahead,10,0.1634888648986816,18,16
1lookahead,10,0.3268556594848633,17,32
1lookahead,10,0.6418619155883789,17,64
1lookahead,10,1.148505687713623,17,128
1lookahead,10,2.38533616065979,17,256
1lookahead,10,4.811847686767578,17,512
1lookahead,10,9.364156484603882,17,1024
1lookahead,10,17.356757879257202,16,2048
2lookahead,10,0.0745291709899902,17,1
2lookahead,10,0.1396443843841552,18,2
2lookahead,10,0.2613062858581543,17,4
2lookahead,10,0.5140306949615479,17,8
2lookahead,10,1.033539056777954,17,16
2lookahead,10,2.0964016914367676,17,32
2lookahead,10,3.7088375091552734,17,64
2lookahead,10,6.887083053588867,17,128
2lookahead,10,13.711927890777588,17,256
1lookahead,11,0.0145943164825439,19,1
1lookahead,11,0.0315630435943603,20,2
1lookahead,11,0.0574710369110107,21,4
1lookahead,11,0.1006166934967041,19,8
1lookahead,11,0.1817677021026611,18,16
1lookahead,11,0.3375434875488281,17,32
1lookahead,11,0.6448767185211182,18,64
1lookahead,11,1.263249397277832,17,128
1lookahead,11,2.5346384048461914,17,256
1lookahead,11,5.059781551361084,17,512
1lookahead,11,10.127108573913574,16,1024
2lookahead,11,0.0967228412628173,19,1
2lookahead,11,0.1735541820526123,19,2
2lookahead,11,0.3028709888458252,18,4
2lookahead,11,0.5904595851898193,17,8
2lookahead,11,1.2134714126586914,17,16
2lookahead,11,2.2994701862335205,17,32
2lookahead,11,4.279320478439331,17,64
2lookahead,11,7.887598514556885,17,128
2lookahead,11,15.742755651474,17,256
1lookahead,12,0.0104482173919677,19,1
1lookahead,12,0.0187370777130126,19,2
1lookahead,12,0.0380198955535888,18,4
1lookahead,12,0.0663356781005859,17,8
1lookahead,12,0.1325199604034423,17,16
1lookahead,12,0.2581439018249511,16,32
1lookahead,12,0.4941024780273437,16,64
1lookahead,12,0.98148775100708,16,128
1lookahead,12,1.907360553741455,15,256
1lookahead,12,3.857112169265747,15,512
1lookahead,12,7.491079092025757,15,1024
1lookahead,12,14.195463180541992,15,2048
2lookahead,12,0.0564374923706054,18,1
2lookahead,12,0.0964820384979248,17,2
2lookahead,12,0.184014081954956,17,4
2lookahead,12,0.3707067966461181,17,8
2lookahead,12,0.7328641414642334,16,16
2lookahead,12,1.548304796218872,16,32
2lookahead,12,2.6856255531311035,16,64
