method,board,time,moves
w32d5,0,0.0420858860015869,18
w32d5,0,0.0696988105773925,17
w32d5,0,0.1520819664001464,16
w32d5,0,0.1980559825897216,15
w32d5,1,0.006227970123291,16
w32d5,1,0.0419309139251709,15
w32d5,1,0.1858139038085937,14
w32d5,1,2.3010268211364746,13
w32d5,2,0.0061590671539306,15
w32d5,2,0.4223091602325439,14
w32d5,2,29.140494108200073,13
w32d5,3,0.0086352825164794,17
w32d5,3,0.1592030525207519,16
w32d5,3,1.1821601390838623,15
w32d5,3,2.373872995376587,14
w32d5,4,0.0076191425323486,15
w32d5,4,0.0136094093322753,14
w32d5,4,0.1263802051544189,13
w32d5,5,0.0061671733856201,15
w32d5,5,0.0896892547607421,14
w32d5,5,3.1787872314453125,13
w32d5,6,0.0142481327056884,18
w32d5,6,0.0207650661468505,17
w32d5,6,0.0494601726531982,16
w32d5,6,1.827821969985962,15
w32d5,7,0.007904052734375,16
w32d5,7,1.1777701377868652,14
w32d5,8,0.0064969062805175,15
w32d5,8,0.0584428310394287,14
w32d5,9,0.0115869045257568,14
w32d5,9,0.7434351444244385,13
w32d5,9,1.6853060722351074,12
w32d5,10,0.0160770416259765,21
w32d5,10,0.0583219528198242,19
w32d5,10,0.1248519420623779,18
w32d5,10,3.1044719219207764,17
w32d5,10,14.686712980270386,16
w32d5,11,0.014085054397583,16
w32d5,11,0.0262799263000488,15
w32d5,11,0.0355482101440429,14
w32d5,11,0.0929248332977294,13
w32d5,11,0.177901029586792,12
w32d5,11,0.8345170021057129,11
w32d5,12,0.0104389190673828,16
w32d5,12,0.6201658248901367,15
w32d5,12,2.783255100250244,14
w32d5,13,0.0136821269989013,21
w32d5,13,0.031548261642456,17
w32d5,13,19.50114417076111,16
w32d5,14,0.0098450183868408,19
w32d5,14,0.5695619583129883,17
w32d5,14,2.632909059524536,16
w32d5,14,6.190337896347046,15
w32d5,15,0.0063810348510742,14
w32d5,15,0.0332531929016113,13
w32d5,15,0.3245420455932617,12
w32d5,15,11.374568939208984,11
