method,board,time,moves
w32d5,0,0.0305838584899902,16
w32d5,0,0.1025838851928711,15
w32d5,0,0.5273950099945068,14
w32d5,1,0.0114541053771972,16
w32d5,1,0.078564167022705,15
w32d5,1,1.571239948272705,14
w32d5,1,4.242897987365723,13
w32d5,2,0.0071070194244384,18
w32d5,2,0.012815237045288,16
w32d5,2,0.0577991008758544,14
w32d5,3,0.0059700012207031,15
w32d5,4,0.0122928619384765,17
w32d5,4,0.0968551635742187,16
w32d5,4,1.2771978378295898,15
w32d5,5,0.0118069648742675,15
w32d5,5,1.12186598777771,14
w32d5,6,0.0076591968536376,19
w32d5,6,0.0216791629791259,18
w32d5,6,0.0281782150268554,17
w32d5,6,0.302565336227417,16
w32d5,6,1.69588303565979,15
w32d5,6,6.081512212753296,14
w32d5,7,0.0150530338287353,20
w32d5,7,0.0611701011657714,19
w32d5,7,0.1509401798248291,18
w32d5,7,0.5594878196716309,17
w32d5,7,4.580250024795532,16
w32d5,8,0.0065810680389404,17
w32d5,8,0.0141210556030273,15
w32d5,8,0.1453020572662353,14
w32d5,8,0.999553918838501,13
w32d5,8,5.297724008560181,12
w32d5,9,0.0070478916168212,18
w32d5,9,0.1108238697052002,17
w32d5,9,0.2184970378875732,16
w32d5,10,0.0089757442474365,19
w32d5,10,0.0731227397918701,18
w32d5,10,0.4593889713287353,17
w32d5,10,2.6640477180480957,16
w32d5,11,0.009099006652832,19
w32d5,11,0.0556421279907226,18
w32d5,11,0.9913840293884276,16
w32d5,11,4.115692138671875,15
w32d5,12,0.0076308250427246,19
w32d5,12,0.0143599510192871,17
w32d5,12,0.1062707901000976,16
w32d5,12,1.4301660060882568,15
w32d5,13,0.0066759586334228,16
w32d5,13,0.0191869735717773,14
w32d5,14,0.0156500339508056,20
w32d5,14,0.0260379314422607,18
w32d5,14,1.3162569999694824,17
w32d5,14,1.4589920043945312,16
w32d5,14,5.239544153213501,15
w32d5,15,0.006688117980957,16
w32d5,15,0.0187718868255615,14
w32d5,15,0.0240976810455322,13
w32d5,16,0.0105061531066894,19
w32d5,16,0.0880880355834961,18
w32d5,16,0.1531832218170166,17
w32d5,17,0.0062739849090576,16
w32d5,17,0.0364058017730712,15
w32d5,17,0.3225820064544678,13
w32d5,18,0.0130906105041503,17
w32d5,18,0.0437057018280029,16
w32d5,18,0.0642707347869873,15
w32d5,19,0.0126519203186035,20
w32d5,19,0.038022756576538,19
w32d5,19,0.0489137172698974,18
w32d5,19,0.1549737453460693,17
w32d5,19,0.1924719810485839,16
w32d5,19,0.9749488830566406,15
w32d5,20,0.0072231292724609,17
w32d5,20,0.0211760997772216,16
w32d5,20,0.0272731781005859,15
w32d5,20,0.1873741149902343,14
w32d5,20,1.187589168548584,13
w32d5,21,0.0134310722351074,17
w32d5,21,0.0976691246032714,16
w32d5,21,4.938053131103516,15
w32d5,22,0.0070960521697998,17
w32d5,22,0.0790839195251464,15
w32d5,22,3.068241834640503,14
w32d5,22,3.8629539012908936,13
w32d5,23,0.0135498046875,19
w32d5,23,0.0280961990356445,18
w32d5,23,0.0421268939971923,17
w32d5,23,0.0780460834503173,16
w32d5,23,0.655432939529419,15
w32d5,24,0.0069339275360107,17
w32d5,24,0.0278458595275878,16
w32d5,24,0.1013469696044921,15
w32d5,24,0.2163598537445068,14
w32d5,24,0.2274069786071777,13
w32d5,25,0.0095250606536865,16
w32d5,25,0.1085991859436035,15
w32d5,26,0.0071322917938232,17
w32d5,26,0.0206401348114013,16
w32d5,26,0.0266492366790771,15
w32d5,26,0.0904822349548339,13
w32d5,26,9.60040807723999,12
w32d5,27,0.0158178806304931,21
w32d5,27,0.0237848758697509,20
w32d5,27,0.055121898651123,18
w32d5,27,0.1854047775268554,17
w32d5,27,1.8625500202178955,16
w32d5,27,5.387778997421265,15
w32d5,28,0.0088427066802978,21
w32d5,28,0.0167996883392334,20
w32d5,28,0.0501859188079834,18
w32d5,28,0.0777857303619384,17
w32d5,28,4.268282890319824,16
w32d5,29,0.0062868595123291,15
w32d5,29,0.047178030014038,14
w32d5,29,0.0593128204345703,13
w32d5,29,0.0839207172393798,12
w32d5,29,1.1651008129119873,11
w32d5,30,0.0132510662078857,17
w32d5,30,0.1674919128417968,16
w32d5,30,0.3211119174957275,15
w32d5,30,8.870397806167603,14
w32d5,31,0.0108559131622314,19
w32d5,31,0.0278069972991943,18
w32d5,31,0.0399408340454101,17
w32d5,31,0.0992789268493652,16
w32d5,31,0.1126742362976074,15
w32d5,31,5.550060033798218,14
w32d5,32,0.0060968399047851,14
w32d5,32,0.2243881225585937,13
w32d5,32,0.7917709350585938,12
w32d5,33,0.0087537765502929,14
w32d5,33,0.8063337802886963,12
w32d5,34,0.0132598876953125,17
w32d5,34,0.0380399227142334,16
w32d5,34,1.3920080661773682,15
w32d5,34,1.832075834274292,14
w32d5,35,0.008876085281372,19
w32d5,35,0.0545411109924316,18
w32d5,35,0.0865600109100341,17
w32d5,35,0.4827339649200439,16
w32d5,36,0.0113098621368408,21
w32d5,36,0.0239269733428955,20
w32d5,36,0.0331218242645263,17
w32d5,36,0.2448110580444336,16
w32d5,36,7.6526429653167725,15
w32d5,37,0.0074760913848876,18
w32d5,37,0.0141570568084716,17
w32d5,37,0.0413100719451904,16
w32d5,37,0.0974972248077392,15
w32d5,37,1.1778769493103027,14
w32d5,38,0.0170710086822509,22
w32d5,38,0.0317080020904541,19
w32d5,38,0.1809310913085937,18
w32d5,38,0.2899980545043945,17
w32d5,38,0.8455631732940674,16
w32d5,38,1.3095757961273191,15
w32d5,39,0.0058348178863525,14
w32d5,39,0.3293688297271728,13
w32d5,39,0.9546828269958496,12
w32d5,40,0.0085451602935791,16
w32d5,40,0.1395509243011474,15
w32d5,40,0.2449390888214111,14
w32d5,40,0.9455909729003906,13
w32d5,41,0.0070180892944335,16
w32d5,41,1.467804193496704,15
w32d5,42,0.0137312412261962,19
w32d5,42,0.025871992111206,17
w32d5,42,0.4613230228424072,16
w32d5,42,1.519423007965088,15
w32d5,43,0.0137901306152343,19
w32d5,43,0.0258529186248779,18
w32d5,43,0.3251080513000488,17
w32d5,43,1.2849371433258057,16
w32d5,44,0.0093080997467041,14
w32d5,44,0.5703020095825195,13
w32d5,44,2.4358670711517334,12
w32d5,45,0.0101580619812011,17
w32d5,45,0.0292360782623291,16
w32d5,45,0.1006338596343994,15
w32d5,45,0.345513105392456,14
w32d5,46,0.0107159614562988,17
w32d5,47,0.0119988918304443,19
w32d5,47,0.0394139289855957,17
w32d5,47,1.8616719245910645,16
w32d5,47,3.034937858581543,15
w32d5,48,0.0106611251831054,15
w32d5,48,0.1880650520324707,14
w32d5,49,0.0110330581665039,21
w32d5,49,0.0224690437316894,19
w32d5,49,0.0323851108551025,18
w32d5,49,0.0931780338287353,17
w32d5,49,0.7917838096618652,16
w32d5,49,1.5722968578338623,15
w32d5,49,4.500847101211548,14
w32d5,50,0.0139400959014892,18
w32d5,50,0.764423131942749,17
w32d5,50,2.324686050415039,16
w32d5,51,0.0148181915283203,18
w32d5,51,0.1222021579742431,16
w32d5,51,1.4540231227874756,15
w32d5,52,0.0156469345092773,20
w32d5,52,0.0848670005798339,18
w32d5,52,0.0957460403442382,17
w32d5,52,0.8582789897918701,16
w32d5,52,2.078658103942871,15
w32d5,53,0.0071778297424316,17
w32d5,53,0.0200281143188476,16
w32d5,53,0.3282029628753662,15
w32d5,53,3.375783920288086,14
w32d5,54,0.0088040828704833,15
w32d5,54,0.4128360748291015,14
w32d5,54,1.2015020847320557,13
w32d5,55,0.0135872364044189,20
w32d5,55,0.0709052085876464,19
w32d5,55,0.083432912826538,18
w32d5,55,0.1396269798278808,17
w32d5,55,0.3662071228027344,16
w32d5,55,2.2955162525177,15
w32d5,56,0.0095331668853759,19
w32d5,56,0.043375015258789,18
w32d5,56,0.345024824142456,17
w32d5,56,4.264403820037842,16
w32d5,57,0.0085511207580566,19
w32d5,57,0.0161631107330322,17
w32d5,57,0.6397180557250977,16
w32d5,58,0.0060961246490478,15
w32d5,58,0.0914778709411621,14
w32d5,58,0.8752620220184326,13
