number,value,datetime_start,datetime_complete,duration,params_bs,params_lr,params_wd,state
0,0.46824176508903503,2025-05-13 13:26:02.174934,2025-05-13 13:49:34.737718,0 days 00:23:32.562784,128,0.0003520898204009845,0.0004797452985900408,COMPLETE
1,0.5416201422977448,2025-05-13 13:26:02.177798,2025-05-13 13:55:15.622201,0 days 00:29:13.444403,64,0.0006075882954502839,0.0004973998593910227,COMPLETE
2,0.8016913886260987,2025-05-13 13:49:38.748398,2025-05-13 14:08:52.109094,0 days 00:19:13.360696,256,1.4573956017350495e-05,1.4719436492266586e-05,COMPLETE
3,0.5181550137901306,2025-05-13 13:55:15.713727,2025-05-13 14:24:25.509347,0 days 00:29:09.795620,64,0.0012844999568367745,9.096943195788463e-05,COMPLETE
4,0.6408250810575485,2025-05-13 14:08:52.223512,2025-05-13 14:38:05.878203,0 days 00:29:13.654691,64,3.498733322973641e-05,0.00017072126135553027,COMPLETE
5,0.5427258923530579,2025-05-13 14:24:25.671203,2025-05-13 14:43:02.751896,0 days 00:18:37.080693,256,9.336667463761072e-05,6.318613654738593e-06,COMPLETE
6,0.5815043813323975,2025-05-13 14:38:05.988413,2025-05-13 14:57:26.067914,0 days 00:19:20.079501,256,0.0004951947267425803,0.0002907981252625052,COMPLETE
7,0.459597370647192,2025-05-13 14:43:02.884605,2025-05-13 15:30:02.376659,0 days 00:46:59.492054,32,0.00022263198461915603,3.914122341454517e-06,COMPLETE
8,0.4735307250404358,2025-05-13 14:57:26.517342,2025-05-13 15:17:20.804285,0 days 00:19:54.286943,256,0.00029500975624232174,3.280546720841671e-05,COMPLETE
9,0.7020803541731835,2025-05-13 15:17:20.942193,2025-05-13 16:08:09.576364,0 days 00:50:48.634171,32,1.2516699993404898e-05,1.0137172050562334e-06,COMPLETE
10,0.5162713406455517,2025-05-13 15:30:02.537121,2025-05-13 16:20:36.177438,0 days 00:50:33.640317,32,3.909032332378766e-05,1.8955718773096812e-06,COMPLETE
11,0.5482283294224739,2025-05-13 16:08:10.094767,2025-05-13 16:55:58.534151,0 days 00:47:48.439384,32,0.009429936689992062,1.6676584392740413e-06,COMPLETE
12,1.423339760017395,2025-05-13 16:20:36.350564,2025-05-13 16:44:29.288547,0 days 00:23:52.937983,128,0.009339326099304726,0.0009616085783234325,COMPLETE
13,0.4561349722576141,2025-05-13 16:44:29.486281,2025-05-13 17:07:16.645982,0 days 00:22:47.159701,128,0.001952120683855572,5.260844755680526e-06,COMPLETE
14,0.4796769519042969,2025-05-13 16:55:58.702151,2025-05-13 17:17:56.790329,0 days 00:21:58.088178,128,0.00016230518766661802,5.947498673877156e-06,COMPLETE
15,0.4585932917881012,2025-05-13 17:07:16.834217,2025-05-13 17:30:14.242678,0 days 00:22:57.408461,128,0.0023055397943021988,3.900215701208414e-06,COMPLETE
16,0.49790234696388247,2025-05-13 17:17:57.267333,2025-05-13 18:05:00.105701,0 days 00:47:02.838368,32,0.00288429982639793,4.743197813719908e-06,COMPLETE
