number,value,datetime_start,datetime_complete,duration,params_bs,params_lr,params_wd,state
0,-0.574975,2025-05-14 19:40:26.717616,2025-05-14 20:03:25.512522,0 days 00:22:58.794906,128,0.0010013703197303903,0.0004623354527410161,COMPLETE
1,-0.590505,2025-05-14 19:40:26.733956,2025-05-14 19:59:41.465191,0 days 00:19:14.731235,256,0.00036857428957465466,0.0004003843970625684,COMPLETE
2,-0.60953,2025-05-14 19:59:41.584311,2025-05-14 20:30:00.929059,0 days 00:30:19.344748,64,0.000583523359563573,3.263664915721734e-06,COMPLETE
3,-0.568625,2025-05-14 20:03:25.675653,2025-05-14 20:27:03.908862,0 days 00:23:38.233209,128,0.003724720796830733,5.2976701127921416e-05,COMPLETE
4,-0.546955,2025-05-14 20:27:04.053666,2025-05-14 20:58:40.516632,0 days 00:31:36.462966,64,3.869978090942404e-05,2.1360693161405666e-06,COMPLETE
5,-0.57555,2025-05-14 20:30:01.037704,2025-05-14 21:20:13.695975,0 days 00:50:12.658271,32,0.0026834541292501952,1.9322858197183666e-05,COMPLETE
6,-0.609395,2025-05-14 20:58:40.678751,2025-05-14 21:29:48.298248,0 days 00:31:07.619497,64,0.0008393735307602971,8.095185273578176e-06,COMPLETE
7,-0.489665,2025-05-14 21:20:13.820295,2025-05-14 21:49:29.635989,0 days 00:29:15.815694,64,1.3303138553775493e-05,6.742170444700324e-06,COMPLETE
8,-0.60053,2025-05-14 21:29:50.285085,2025-05-14 21:48:52.620757,0 days 00:19:02.335672,256,0.0005117791703628155,0.00012385965406471318,COMPLETE
9,-0.597295,2025-05-14 21:48:52.743902,2025-05-14 22:39:47.309639,0 days 00:50:54.565737,32,0.0002159713862888276,8.690553461167865e-05,COMPLETE
10,-0.54191,2025-05-14 21:49:29.825809,2025-05-14 22:21:13.228527,0 days 00:31:43.402718,64,0.0029599846859888067,0.00012561160593725605,COMPLETE
11,-0.58292,2025-05-14 22:21:13.372170,2025-05-14 23:11:50.435377,0 days 00:50:37.063207,32,9.125733951869044e-05,1.1456743309802576e-06,COMPLETE
12,-0.58205,2025-05-14 22:39:47.426571,2025-05-14 23:11:04.102971,0 days 00:31:16.676400,64,0.00010125582127485459,1.1958424907766104e-06,COMPLETE
13,-0.612945,2025-05-14 23:11:04.943898,2025-05-14 23:41:55.238767,0 days 00:30:50.294869,64,0.0011926071633385994,6.420821986171643e-06,COMPLETE
14,-0.611545,2025-05-14 23:11:50.524373,2025-05-14 23:42:45.014194,0 days 00:30:54.489821,64,0.0010270556935437023,7.374271500190557e-06,COMPLETE
15,-0.576095,2025-05-14 23:41:55.412485,2025-05-15 00:13:19.565699,0 days 00:31:24.153214,64,0.007021757334169141,4.404240155220909e-06,COMPLETE
16,-0.55392,2025-05-14 23:42:45.097718,2025-05-15 00:14:17.892791,0 days 00:31:32.795073,64,0.006626365714150158,1.6450921645627784e-05,COMPLETE
17,-0.60894,2025-05-15 00:13:19.766006,2025-05-15 00:42:13.893782,0 days 00:28:54.127776,64,0.0014900346665490788,1.8979335514606528e-05,COMPLETE
18,-0.613685,2025-05-15 00:14:18.020573,2025-05-15 00:33:40.440295,0 days 00:19:22.419722,256,0.001600504671498832,1.5524366458600612e-05,COMPLETE
19,-0.60838,2025-05-15 00:33:40.574518,2025-05-15 00:51:53.562888,0 days 00:18:12.988370,256,0.0017280328068792086,2.3554608578143902e-05,COMPLETE
20,-0.57727,2025-05-15 00:42:14.287448,2025-05-15 00:59:41.809735,0 days 00:17:27.522287,256,0.00019427359348218689,3.448401941475521e-05,COMPLETE
21,-0.57768,2025-05-15 00:51:53.710103,2025-05-15 01:09:24.197273,0 days 00:17:30.487170,256,0.00018896656998972045,3.817373061003166e-05,COMPLETE
22,-0.60994,2025-05-15 00:59:41.903766,2025-05-15 01:17:23.474990,0 days 00:17:41.571224,256,0.0012901601259143363,8.474641014260386e-06,COMPLETE
23,-0.61196,2025-05-15 01:09:24.289973,2025-05-15 01:31:06.846500,0 days 00:21:42.556527,128,0.0013679309232855301,9.927317509835352e-06,COMPLETE
24,-0.61019,2025-05-15 01:17:23.572967,2025-05-15 01:39:18.856344,0 days 00:21:55.283377,128,0.002093471747895853,1.1176738500291574e-05,COMPLETE
25,-0.6078,2025-05-15 01:31:06.969868,2025-05-15 01:53:01.689040,0 days 00:21:54.719172,128,0.004431568538126002,3.2254146675323505e-06,COMPLETE
26,-0.61165,2025-05-15 01:39:18.946590,2025-05-15 02:01:12.813260,0 days 00:21:53.866670,128,0.0036939102874444245,3.954424148402917e-06,COMPLETE
27,-0.609535,2025-05-15 01:53:01.776883,2025-05-15 02:14:53.286439,0 days 00:21:51.509556,128,0.0005997739179035844,5.0943970160851404e-06,COMPLETE
28,-0.560125,2025-05-15 02:01:12.951410,2025-05-15 02:23:08.367253,0 days 00:21:55.415843,128,0.009145322375377253,1.455868766871282e-05,COMPLETE
29,-0.56059,2025-05-15 02:14:53.381898,2025-05-15 02:36:29.445253,0 days 00:21:36.063355,128,0.009004391983683352,1.341518174583663e-05,COMPLETE
30,-0.58885,2025-05-15 02:23:08.457403,2025-05-15 02:40:59.645053,0 days 00:17:51.187650,256,0.0008141299989788226,0.0007839612766611829,COMPLETE
31,-0.57674,2025-05-15 02:36:29.573474,2025-05-15 02:54:27.269545,0 days 00:17:57.696071,256,0.0008845936263722992,0.0009220283718366018,COMPLETE
32,-0.61713,2025-05-15 02:41:00.017199,2025-05-15 03:02:34.211358,0 days 00:21:34.194159,128,0.0022300846217341726,2.0740459427976424e-06,COMPLETE
33,-0.61693,2025-05-15 02:54:27.358091,2025-05-15 03:16:20.226312,0 days 00:21:52.868221,128,0.0020519963268307985,2.2307180250943118e-06,COMPLETE
