number,value,datetime_start,datetime_complete,duration,params_bs,params_lr,params_wd,state
0,0.5870995973587037,2025-05-13 11:14:12.534409,2025-05-13 11:22:43.349350,0 days 00:08:30.814941,256,0.004248843116368229,2.936712871631808e-05,COMPLETE
1,0.8527537620544433,2025-05-13 11:14:12.537272,2025-05-13 11:38:01.516105,0 days 00:23:48.978833,32,1.0286983308970243e-05,1.626667752144804e-05,COMPLETE
2,0.5960380818879605,2025-05-13 11:22:50.348349,2025-05-13 11:46:45.802206,0 days 00:23:55.453857,32,4.345538410245894e-05,0.0008567177090208961,COMPLETE
3,0.644828989456892,2025-05-13 11:38:01.645091,2025-05-13 12:01:35.066249,0 days 00:23:33.421158,32,2.2147719069908096e-05,0.0004453629505373554,COMPLETE
4,0.6054055034017563,2025-05-13 11:46:45.935914,2025-05-13 12:01:24.382075,0 days 00:14:38.446161,64,0.0087372354204921,7.913859465873562e-06,COMPLETE
5,0.5025293456459046,2025-05-13 12:01:24.495461,2025-05-13 12:15:10.579583,0 days 00:13:46.084122,64,0.0014591930993286461,2.1431294988125874e-06,COMPLETE
6,0.5846174579429626,2025-05-13 12:01:35.180798,2025-05-13 12:09:30.971519,0 days 00:07:55.790721,256,0.00019723995041745645,4.327103751473462e-06,COMPLETE
7,0.5063006663227081,2025-05-13 12:09:31.065322,2025-05-13 12:19:23.538734,0 days 00:09:52.473412,128,0.0018917167626910862,3.51041680667434e-06,COMPLETE
8,0.6612844280481338,2025-05-13 12:15:10.706573,2025-05-13 12:37:44.307878,0 days 00:22:33.601305,32,3.5450427648579845e-05,3.011757524948993e-05,COMPLETE
9,0.5115095122909545,2025-05-13 12:19:23.814439,2025-05-13 12:27:28.543776,0 days 00:08:04.729337,256,0.0006070015445554562,1.3930121941370538e-05,COMPLETE
10,0.6546252734410762,2025-05-13 12:27:28.663598,2025-05-13 12:50:27.969568,0 days 00:22:59.305970,32,3.122971898101162e-05,2.1496351346005094e-05,COMPLETE
11,0.49735477455615995,2025-05-13 12:37:45.163261,2025-05-13 12:52:02.187788,0 days 00:14:17.024527,64,0.00038299887948394613,1.0666749839105112e-06,COMPLETE
12,0.49527021640777585,2025-05-13 12:50:28.051694,2025-05-13 13:00:11.071306,0 days 00:09:43.019612,128,0.0013514567115797678,1.3526964384825394e-06,COMPLETE
13,0.5031320242071152,2025-05-13 12:52:02.302355,2025-05-13 13:05:44.499067,0 days 00:13:42.196712,64,0.0004403485305369039,1.016960596242841e-06,COMPLETE
14,0.5442143429565429,2025-05-13 13:00:11.140414,2025-05-13 13:09:48.045943,0 days 00:09:36.905529,128,0.00019001527283400924,1.083444817641285e-06,COMPLETE
15,0.5563767318534851,2025-05-13 13:05:44.629149,2025-05-13 13:15:15.878363,0 days 00:09:31.249214,128,0.00010660246883437304,0.00010939786009677262,COMPLETE
16,0.5297782843208313,2025-05-13 13:09:48.137115,2025-05-13 13:19:18.438835,0 days 00:09:30.301720,128,0.0010646229432185153,0.0001322993015664332,COMPLETE
17,0.5243010074424743,2025-05-13 13:15:15.970811,2025-05-13 13:24:53.727172,0 days 00:09:37.756361,128,0.001082724646233652,8.924234426549801e-05,COMPLETE
18,0.5101252761077881,2025-05-13 13:19:18.536445,2025-05-13 13:33:12.014635,0 days 00:13:53.478190,64,0.003399634676112042,2.4054522798880928e-06,COMPLETE
19,0.5021055239963531,2025-05-13 13:24:53.836214,2025-05-13 13:38:52.903139,0 days 00:13:59.066925,64,0.0028376736679473127,2.875827629352127e-06,COMPLETE
20,0.5384917694425583,2025-05-13 13:33:12.086358,2025-05-13 13:47:12.252031,0 days 00:14:00.165673,64,0.00010378762636544496,6.194476047416172e-06,COMPLETE
21,0.5392002880334854,2025-05-13 13:38:53.020457,2025-05-13 13:52:51.824666,0 days 00:13:58.804209,64,9.34936115698152e-05,7.500224410916132e-06,COMPLETE
22,0.533267936296463,2025-05-13 13:47:12.373684,2025-05-13 14:01:12.116829,0 days 00:13:59.743145,64,0.003097111475987846,1.626847416774497e-06,COMPLETE
23,0.500090172624588,2025-05-13 13:52:51.910711,2025-05-13 14:06:51.082306,0 days 00:13:59.171595,64,0.0031956263353138054,1.7359431131977362e-06,COMPLETE
24,0.5051467654466629,2025-05-13 14:01:12.222626,2025-05-13 14:15:00.745188,0 days 00:13:48.522562,64,0.0005782083936520725,1.7069731019163508e-06,COMPLETE
25,0.5505606739616394,2025-05-13 14:06:51.192717,2025-05-13 14:16:31.113828,0 days 00:09:39.921111,128,0.009094504806261956,1.5272770234111222e-06,COMPLETE
26,0.5149129960632324,2025-05-13 14:15:00.874136,2025-05-13 14:24:39.902870,0 days 00:09:39.028734,128,0.007792304655715408,1.5550048134562453e-06,COMPLETE
27,0.5223783014202118,2025-05-13 14:16:31.195551,2025-05-13 14:30:18.877381,0 days 00:13:47.681830,64,0.0003000715423979038,4.329247111094069e-06,COMPLETE
28,0.49069652272701264,2025-05-13 14:24:39.977000,2025-05-13 14:38:23.280158,0 days 00:13:43.303158,64,0.00032398854450378574,4.249956439949989e-06,COMPLETE
29,0.5196496995162964,2025-05-13 14:30:19.025317,2025-05-13 14:38:07.929628,0 days 00:07:48.904311,256,0.0017807776760374377,6.155149462936346e-05,COMPLETE
30,0.5536472078704834,2025-05-13 14:38:08.006959,2025-05-13 14:45:40.810578,0 days 00:07:32.803619,256,0.004511533503090063,1.0452736376670467e-06,COMPLETE
31,0.5363651159667969,2025-05-13 14:38:23.381718,2025-05-13 14:45:56.504954,0 days 00:07:33.123236,256,0.00030396638419772157,1.0020221211827799e-05,COMPLETE
32,0.5112374102115631,2025-05-13 14:45:40.924925,2025-05-13 14:59:35.972383,0 days 00:13:55.047458,64,0.0003130411018219385,2.9776961137171854e-06,COMPLETE
33,0.5051060896873474,2025-05-13 14:45:56.577067,2025-05-13 14:59:53.109542,0 days 00:13:56.532475,64,0.0008783694510652199,4.923923184150961e-06,COMPLETE
34,0.5003314232730866,2025-05-13 14:59:36.175294,2025-05-13 15:13:32.779009,0 days 00:13:56.603715,64,0.000933374679750838,2.30856856454385e-06,COMPLETE
35,0.5206452034950256,2025-05-13 14:59:53.188881,2025-05-13 15:13:51.276214,0 days 00:13:58.087333,64,0.005410687626045636,2.317272285033269e-06,COMPLETE
36,0.5590194583845138,2025-05-13 15:13:32.866496,2025-05-13 15:27:48.748864,0 days 00:14:15.882368,64,0.005242137189095099,1.2275646427442072e-05,COMPLETE
37,0.5289377438139915,2025-05-13 15:13:51.364880,2025-05-13 15:36:41.449091,0 days 00:22:50.084211,32,0.00015368664165804402,1.0859983144893503e-05,COMPLETE
38,0.5196375920367241,2025-05-13 15:27:48.888419,2025-05-13 15:50:20.589046,0 days 00:22:31.700627,32,0.00016086750871887925,1.4524785313724453e-06,COMPLETE
39,0.600440608844757,2025-05-13 15:36:41.636929,2025-05-13 15:46:35.674496,0 days 00:09:54.037567,128,6.192821079532642e-05,1.5091813714199712e-06,COMPLETE
40,0.5045226014709473,2025-05-13 15:46:36.020576,2025-05-13 16:00:39.515265,0 days 00:14:03.494689,64,0.0005090881256951892,3.5027255424314545e-06,COMPLETE
41,0.5145486381340026,2025-05-13 15:50:20.768329,2025-05-13 16:04:20.311760,0 days 00:13:59.543431,64,0.0004299763637757423,0.00020164998190654325,COMPLETE
42,0.4980098093032837,2025-05-13 16:00:39.787936,2025-05-13 16:14:38.151532,0 days 00:13:58.363596,64,0.0008503425948060947,2.0621334430903047e-06,COMPLETE
43,0.4977970950651169,2025-05-13 16:04:20.414443,2025-05-13 16:18:22.178805,0 days 00:14:01.764362,64,0.0008713920411965019,2.1794721209894384e-06,COMPLETE
44,0.7914398426342011,2025-05-13 16:14:38.252914,2025-05-13 16:28:38.341415,0 days 00:14:00.088501,64,1.0960109964214822e-05,1.997690574510263e-05,COMPLETE
45,0.7951045390319824,2025-05-13 16:18:22.253666,2025-05-13 16:32:24.014903,0 days 00:14:01.761237,64,1.2160235137028067e-05,4.559202226725203e-06,COMPLETE
46,0.48779403369426727,2025-05-13 16:28:38.509015,2025-05-13 16:42:22.334466,0 days 00:13:43.825451,64,0.0007275753447785368,5.8806963728734064e-06,COMPLETE
47,0.5519811483955384,2025-05-13 16:32:24.127675,2025-05-13 16:42:10.548989,0 days 00:09:46.421314,128,0.0013407419622704748,0.0005643540696887207,COMPLETE
48,0.49568720387458803,2025-05-13 16:42:10.649109,2025-05-13 16:56:31.763733,0 days 00:14:21.114624,64,0.0006990222431038229,4.3845759252352224e-05,COMPLETE
49,0.5456452451384067,2025-05-13 16:42:22.410817,2025-05-13 17:00:50.865441,0 days 00:18:28.454624,32,0.0006349471633297485,6.219983224899278e-06,COMPLETE
