number,value,datetime_start,datetime_complete,duration,params_bs,params_lr,params_wd,state
0,-0.504825,2025-05-14 19:40:26.714771,2025-05-14 19:57:10.689788,0 days 00:16:43.975017,128,9.65949555464727e-05,8.19367083602191e-06,COMPLETE
1,-0.55116,2025-05-14 19:40:26.732310,2025-05-14 19:55:00.393003,0 days 00:14:33.660693,256,0.008635516717240093,1.6769393446239624e-06,COMPLETE
2,-0.545405,2025-05-14 19:55:02.317861,2025-05-14 20:09:40.146306,0 days 00:14:37.828445,256,0.0013110482806697472,1.087830673342715e-06,COMPLETE
3,-0.50599,2025-05-14 19:57:10.775309,2025-05-14 20:31:39.401793,0 days 00:34:28.626484,32,5.1812607491284075e-05,1.4519430513995844e-05,COMPLETE
4,-0.52197,2025-05-14 20:09:40.248999,2025-05-14 20:32:25.286656,0 days 00:22:45.037657,64,0.00014049366809039434,4.324912157605525e-05,COMPLETE
5,-0.535205,2025-05-14 20:31:39.568341,2025-05-14 21:07:14.420479,0 days 00:35:34.852138,32,0.0003610933635046766,0.00018837051003660587,COMPLETE
6,-0.492785,2025-05-14 20:32:25.433873,2025-05-14 21:07:57.249776,0 days 00:35:31.815903,32,0.0012827896385861515,0.0003790098960787961,COMPLETE
7,-0.52865,2025-05-14 21:07:14.638174,2025-05-14 21:23:07.132690,0 days 00:15:52.494516,128,0.000308669847035921,1.757131388471173e-06,COMPLETE
8,-0.53021,2025-05-14 21:07:57.337840,2025-05-14 21:21:41.242291,0 days 00:13:43.904451,256,0.00041334644507228825,1.069372752746526e-06,COMPLETE
9,-0.541065,2025-05-14 21:21:41.331883,2025-05-14 21:38:15.574190,0 days 00:16:34.242307,128,0.0017239983906232627,5.114432828714153e-05,COMPLETE
10,-0.53429,2025-05-14 21:23:07.225593,2025-05-14 21:44:22.278230,0 days 00:21:15.052637,64,0.00029828582653949865,0.00030250751803956994,COMPLETE
11,-0.544675,2025-05-14 21:38:15.729242,2025-05-14 21:52:00.190332,0 days 00:13:44.461090,256,0.008616431489212793,4.882714426275437e-06,COMPLETE
12,-0.543655,2025-05-14 21:44:22.361368,2025-05-14 21:57:44.584933,0 days 00:13:22.223565,256,0.009430951585224072,4.0292283496814775e-06,COMPLETE
13,-0.402345,2025-05-14 21:52:00.294255,2025-05-14 22:05:30.714709,0 days 00:13:30.420454,256,1.1102104735922099e-05,3.3695141170978263e-06,COMPLETE
