number,value,datetime_start,datetime_complete,duration,params_bs,params_lr,params_wd,state
0,-0.50809,2025-05-14 01:08:17.260296,2025-05-14 02:01:42.624070,0 days 00:53:25.363774,32,0.0006731299395645501,6.141798671236844e-05,COMPLETE
1,-0.51893,2025-05-14 01:08:17.278779,2025-05-14 01:34:17.743093,0 days 00:26:00.464314,128,0.0018882252882850665,1.2062917314523204e-06,COMPLETE
2,-0.51257,2025-05-14 01:34:18.204911,2025-05-14 02:09:04.768206,0 days 00:34:46.563295,64,0.0011970772669978322,3.287556664939258e-05,COMPLETE
3,-0.507385,2025-05-14 02:01:42.764538,2025-05-14 02:35:39.901882,0 days 00:33:57.137344,64,0.0011605301909880775,4.521124623158739e-05,COMPLETE
4,-0.50417,2025-05-14 02:09:04.941994,2025-05-14 02:42:53.780097,0 days 00:33:48.838103,64,0.0005162270697140376,0.00015439921817303123,COMPLETE
5,-0.50646,2025-05-14 02:35:40.156942,2025-05-14 02:59:50.033259,0 days 00:24:09.876317,128,0.002109425785487556,6.996574405019545e-05,COMPLETE
6,-0.510835,2025-05-14 02:42:54.118894,2025-05-14 03:16:16.057301,0 days 00:33:21.938407,64,0.0022755113004761154,4.329955822859474e-05,COMPLETE
7,-0.49615,2025-05-14 02:59:50.199194,2025-05-14 03:32:45.387522,0 days 00:32:55.188328,64,0.0019496567232961245,0.0002307773833474631,COMPLETE
8,-0.393015,2025-05-14 03:16:16.219869,2025-05-14 03:36:33.304670,0 days 00:20:17.084801,256,1.996587819504924e-05,5.9875104178770245e-06,COMPLETE
9,-0.504095,2025-05-14 03:32:45.508373,2025-05-14 03:56:44.227386,0 days 00:23:58.719013,128,0.0006202428067107447,0.00035260578990018164,COMPLETE
10,-0.45983,2025-05-14 03:36:33.412067,2025-05-14 04:09:25.566853,0 days 00:32:52.154786,64,5.3927257805744e-05,3.1815633603822857e-06,COMPLETE
11,-0.51538,2025-05-14 03:56:44.623586,2025-05-14 04:20:35.016649,0 days 00:23:50.393063,128,0.008758549499310294,1.2047204417614714e-06,COMPLETE
12,-0.516245,2025-05-14 04:09:25.711576,2025-05-14 04:32:50.985711,0 days 00:23:25.274135,128,0.00976968040406035,1.0633529500826565e-06,COMPLETE
13,-0.515345,2025-05-14 04:20:35.121392,2025-05-14 04:43:58.698321,0 days 00:23:23.576929,128,0.00878003023121535,1.1779597831268617e-06,COMPLETE
14,-0.51422,2025-05-14 04:32:51.175150,2025-05-14 04:56:16.234259,0 days 00:23:25.059109,128,0.007372836421157355,1.0803658966492036e-06,COMPLETE
15,-0.48192,2025-05-14 04:43:58.864677,2025-05-14 05:07:08.732279,0 days 00:23:09.867602,128,0.0001482355242877403,9.371748797183481e-06,COMPLETE
16,-0.518265,2025-05-14 04:56:16.511500,2025-05-14 05:15:49.853868,0 days 00:19:33.342368,256,0.003660095709550811,8.450406129036602e-06,COMPLETE
17,-0.469535,2025-05-14 05:07:08.906457,2025-05-14 05:26:25.558488,0 days 00:19:16.652031,256,0.004066506520143967,0.000918018881868979,COMPLETE
18,-0.47478,2025-05-14 05:15:49.959342,2025-05-14 05:35:09.433771,0 days 00:19:19.474429,256,0.00019646844203118088,1.1575786541836758e-05,COMPLETE
19,-0.479005,2025-05-14 05:26:25.678675,2025-05-14 05:46:42.686694,0 days 00:20:17.008019,256,0.00020157834460462408,1.208355243488842e-05,COMPLETE
20,-0.508755,2025-05-14 05:35:09.563061,2025-05-14 06:28:40.155479,0 days 00:53:30.592418,32,0.0035941617793681076,3.138082187247808e-06,COMPLETE
21,-0.509065,2025-05-14 05:46:42.787639,2025-05-14 06:40:20.057231,0 days 00:53:37.269592,32,0.0034138892501095973,3.855545271589562e-06,COMPLETE
22,-0.5188,2025-05-14 06:28:40.800500,2025-05-14 06:52:42.699371,0 days 00:24:01.898871,128,0.004187653911680527,2.4117987192767456e-06,COMPLETE
23,-0.51957,2025-05-14 06:40:20.301874,2025-05-14 07:03:28.490166,0 days 00:23:08.188292,128,0.004668589844061094,1.71682376652739e-06,COMPLETE
24,-0.51469,2025-05-14 06:52:42.827980,2025-05-14 07:12:26.379382,0 days 00:19:43.551402,256,0.0042833840388435355,2.515082257483432e-06,COMPLETE
25,-0.507305,2025-05-14 07:03:28.612483,2025-05-14 07:26:39.311130,0 days 00:23:10.698647,128,0.0011492901390774597,2.1802532341942103e-06,COMPLETE
26,-0.508585,2025-05-14 07:12:26.487557,2025-05-14 07:35:50.095748,0 days 00:23:23.608191,128,0.001223121201831761,1.9442967577495388e-06,COMPLETE
27,-0.51856,2025-05-14 07:26:39.439738,2025-05-14 07:50:05.166497,0 days 00:23:25.726759,128,0.005331924587307718,1.7916195332717512e-06,COMPLETE
28,-0.50584,2025-05-14 07:35:50.438553,2025-05-14 07:59:15.650571,0 days 00:23:25.212018,128,0.005698389255843805,2.1532161604537437e-05,COMPLETE
29,-0.511185,2025-05-14 07:50:05.333227,2025-05-14 08:14:23.733312,0 days 00:24:18.400085,128,0.0022317878108086718,1.9502961521392614e-05,COMPLETE
30,-0.51214,2025-05-14 07:59:15.748672,2025-05-14 08:52:55.276874,0 days 00:53:39.528202,32,0.002038152412104873,5.394098400683048e-06,COMPLETE
31,-0.51283,2025-05-14 08:14:23.912391,2025-05-14 09:07:54.284871,0 days 00:53:30.372480,32,0.0007923994332118726,5.243038752574019e-06,COMPLETE
32,-0.519315,2025-05-14 08:52:56.045993,2025-05-14 09:17:13.995285,0 days 00:24:17.949292,128,0.005443668981942087,1.7648925665251585e-06,COMPLETE
33,-0.51584,2025-05-14 09:07:54.410122,2025-05-14 09:31:18.340718,0 days 00:23:23.930596,128,0.005398805879346332,1.7260995966502739e-06,COMPLETE
34,-0.49962,2025-05-14 09:17:14.094076,2025-05-14 09:40:39.113400,0 days 00:23:25.019324,128,0.00038708560541434443,1.702098594808192e-06,COMPLETE
35,-0.494745,2025-05-14 09:31:18.478679,2025-05-14 09:54:39.941622,0 days 00:23:21.462943,128,0.0004167913691766476,4.0093514072706835e-06,COMPLETE
