number,value,datetime_start,datetime_complete,duration,params_bs,params_lr,params_wd,state
36,-0.513565,2025-05-14 09:40:39.278997,2025-05-14 10:04:00.692723,0 days 00:23:21.413726,128,0.0012637305738745558,3.92712231025206e-06,COMPLETE
37,-0.51024,2025-05-14 09:54:40.218817,2025-05-14 10:18:00.325156,0 days 00:23:20.106339,128,0.0012235256660258563,9.415157254593467e-05,COMPLETE
38,-0.514725,2025-05-14 10:04:01.101270,2025-05-14 10:27:21.097870,0 days 00:23:19.996600,128,0.002628074291546401,2.5958621178072035e-06,COMPLETE
39,-0.520555,2025-05-14 10:18:00.584555,2025-05-14 10:41:51.418483,0 days 00:23:50.833928,128,0.002840039116352459,2.501887441347217e-06,COMPLETE
40,-0.50595,2025-05-14 10:27:21.249537,2025-05-14 11:00:48.457474,0 days 00:33:27.207937,64,0.006412149848672461,7.270897653820006e-06,COMPLETE
41,-0.510815,2025-05-14 10:41:51.715254,2025-05-14 11:15:17.765765,0 days 00:33:26.050511,64,0.000858432423825478,1.5712939273831844e-06,COMPLETE
42,-0.517415,2025-05-14 11:00:49.127982,2025-05-14 11:24:42.947970,0 days 00:23:53.819988,128,0.0027517875761827524,1.4651211829457378e-06,COMPLETE
43,-0.51657,2025-05-14 11:15:18.110084,2025-05-14 11:38:43.874770,0 days 00:23:25.764686,128,0.0028671278420145476,1.3045110086470176e-06,COMPLETE
44,-0.51253,2025-05-14 11:24:43.083005,2025-05-14 11:48:08.701721,0 days 00:23:25.618716,128,0.0015835201356290865,2.5099582847135532e-06,COMPLETE
45,-0.51203,2025-05-14 11:38:43.982117,2025-05-14 12:02:08.933200,0 days 00:23:24.951083,128,0.0015350105423638455,2.6167524063116624e-06,COMPLETE
46,-0.383215,2025-05-14 11:48:08.826337,2025-05-14 12:11:36.689414,0 days 00:23:27.863077,128,1.2867681675014606e-05,3.2525644496664698e-06,COMPLETE
47,-0.458465,2025-05-14 12:02:09.367115,2025-05-14 12:25:35.896385,0 days 00:23:26.529270,128,6.605822854292578e-05,4.490838485300725e-06,COMPLETE
48,-0.514015,2025-05-14 12:11:36.893423,2025-05-14 12:35:03.121539,0 days 00:23:26.228116,128,0.009998219889938306,1.0428128458140303e-06,COMPLETE
49,-0.52,2025-05-14 12:25:36.322914,2025-05-14 12:42:00.392070,0 days 00:16:24.069156,128,0.007238338369397221,1.0040936826959595e-06,COMPLETE
