number,value,datetime_start,datetime_complete,duration,params_bs,params_lr,params_wd,state
0,0.5864070400810242,2025-05-13 11:24:56.528090,2025-05-13 11:44:23.288094,0 days 00:19:26.760004,128,0.0012085829738792012,0.0004124775075812316,COMPLETE
1,0.5110412485122681,2025-05-13 11:24:56.530958,2025-05-13 11:44:23.286783,0 days 00:19:26.755825,128,0.004908675852410646,2.8017330500199413e-06,COMPLETE
2,0.5008341919612884,2025-05-13 11:44:24.558009,2025-05-13 12:03:43.927125,0 days 00:19:19.369116,128,0.0009048408003979085,2.4666543540250826e-06,COMPLETE
3,0.5568889255237579,2025-05-13 11:44:24.592685,2025-05-13 12:03:52.471468,0 days 00:19:27.878783,128,0.004467506109683031,4.3683569707131624e-05,COMPLETE
4,0.601130287899971,2025-05-13 12:03:44.055397,2025-05-13 12:33:53.309492,0 days 00:30:09.254095,64,3.097927031642501e-05,0.00033039490572346245,COMPLETE
5,0.8160630317783356,2025-05-13 12:03:52.629529,2025-05-13 12:34:11.635414,0 days 00:30:19.005885,64,1.2927348531135381e-05,1.3793767001667038e-06,COMPLETE
6,0.8118038134765625,2025-05-13 12:33:53.494049,2025-05-13 12:47:58.044959,0 days 00:14:04.550910,256,2.9340001099373895e-05,7.5573367770373494e-06,COMPLETE
7,0.49533851753234864,2025-05-13 12:34:11.723709,2025-05-13 12:48:30.349277,0 days 00:14:18.625568,256,0.001198247488274098,2.2786180467113083e-06,COMPLETE
8,0.5774778795492649,2025-05-13 12:47:58.141691,2025-05-13 13:36:46.475445,0 days 00:48:48.333754,32,4.259880716487626e-05,0.0005830217830688674,COMPLETE
9,0.6514818535041809,2025-05-13 12:48:30.475719,2025-05-13 13:19:38.929420,0 days 00:31:08.453701,64,2.6707653793116278e-05,0.00014870013920226932,COMPLETE
10,0.49148424659729006,2025-05-13 13:19:39.953546,2025-05-13 13:35:31.461367,0 days 00:15:51.507821,256,0.0020492055574024095,2.9062549728974362e-06,COMPLETE
11,0.5164656857252121,2025-05-13 13:35:31.577365,2025-05-13 14:22:58.484497,0 days 00:47:26.907132,32,0.00021183349189082387,1.5775623240504876e-05,COMPLETE
12,0.5547546650314331,2025-05-13 13:36:46.608575,2025-05-13 13:52:25.795365,0 days 00:15:39.186790,256,0.00039083814806952286,1.1643229201055496e-05,COMPLETE
13,0.5326813218688965,2025-05-13 13:52:25.891106,2025-05-13 14:07:58.451098,0 days 00:15:32.559992,256,0.001634163073665129,1.1010833960106276e-05,COMPLETE
14,0.5546276592254639,2025-05-13 14:07:58.660669,2025-05-13 14:23:29.445628,0 days 00:15:30.784959,256,0.0001611736632154317,1.1687302156772299e-06,COMPLETE
15,0.5089478082656861,2025-05-13 14:22:58.578184,2025-05-13 14:37:14.382464,0 days 00:14:15.804280,256,0.009812175427970417,1.0984149434065818e-06,COMPLETE
